transaction_id,sender_id,receiver_id,amount,timestamp
TXN001,ACC001,ACC002,150.50,2024-02-01 10:00:00
TXN002,ACC002,ACC003,200.00,2024-02-01 10:15:00
TXN003,ACC003,ACC001,175.25,2024-02-01 10:30:00
TXN004,ACC004,ACC005,100.00,2024-02-01 11:00:00
TXN005,ACC005,ACC006,120.00,2024-02-01 11:05:00
TXN006,ACC006,ACC004,110.00,2024-02-01 11:10:00
TXN007,ACC010,ACC011,50.00,2024-02-01 14:00:00
TXN008,ACC010,ACC012,50.00,2024-02-01 14:05:00
TXN009,ACC010,ACC013,50.00,2024-02-01 14:10:00
TXN010,ACC010,ACC014,50.00,2024-02-01 14:15:00
TXN011,ACC010,ACC015,50.00,2024-02-01 14:20:00
TXN012,ACC010,ACC016,50.00,2024-02-01 14:25:00
TXN013,ACC010,ACC017,50.00,2024-02-01 14:30:00
TXN014,ACC010,ACC018,50.00,2024-02-01 14:35:00
TXN015,ACC010,ACC019,50.00,2024-02-01 14:40:00
TXN016,ACC010,ACC020,50.00,2024-02-01 14:45:00
TXN017,ACC010,ACC021,50.00,2024-02-01 14:50:00
TXN018,SHOP001,ACC100,500.00,2024-02-01 08:00:00
TXN019,SHOP001,ACC101,500.00,2024-02-01 08:30:00
TXN020,SHOP001,ACC102,500.00,2024-02-01 09:00:00
TXN021,SHOP001,ACC103,500.00,2024-02-01 09:30:00
TXN022,SHOP001,ACC104,500.00,2024-02-01 10:00:00
TXN023,ACC030,SHELL001,200.00,2024-02-01 15:00:00
TXN024,SHELL001,SHELL002,200.00,2024-02-01 15:10:00
TXN025,SHELL002,ACC031,200.00,2024-02-01 15:20:00
TXN026,ACC040,ACC041,300.00,2024-02-01 16:00:00
TXN027,ACC041,ACC040,250.00,2024-02-01 16:30:00
